epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2398,0.95526,2.66866,1.41068,0,0,0,0,0,163.979,0,0.000533333,0.000533333,0.000533333
2,30.1701,0.96127,2.11669,1.33835,0,0,0,0,0,178.206,0,0.0010812,0.0010812,0.0010812
3,37.5716,0.983,2.01375,1.34908,0,0,0,0,0,176.575,0,0.00149707,0.00149707,0.00149707
4,44.2806,0.96373,1.93609,1.36362,0,0,0,0,0,180.138,0,0.001406,0.001406,0.001406
5,50.9291,0.93536,1.89118,1.33903,0,0,0,0,0,220.08,0,0.001208,0.001208,0.001208
6,57.6118,0.94102,1.77742,1.34327,0,0,0,0,0,243.961,0,0.00101,0.00101,0.00101
7,64.2125,0.92576,1.72259,1.33603,0,0,0,0,0,215.433,0,0.000812,0.000812,0.000812
8,70.8047,0.93122,1.58073,1.33971,0,0,0,0,0,201.556,0,0.000614,0.000614,0.000614
9,77.3843,0.91674,1.60829,1.2656,0,0,0,0,0,213.341,0,0.000416,0.000416,0.000416
10,83.9248,0.89536,1.61192,1.27721,0,0,0,0,0,213.693,0,0.000218,0.000218,0.000218
